Municipality,Vaccinated,Median income,Unemployment,Median age,Pensioners,Immigrants,Rural,M,C,L,KD,S,V,MP,SD,Turnout
Sollentuna,0.7979,351980,0.073,39.3,0.160,0.267,0,0.2807,0.1018,0.0897,0.0753,0.2085,0.0649,0.0525,0.1124,0.8858
Solna,0.7816,351162,0.063,39.3,0.155,0.316,0,0.2371,0.0903,0.0812,0.0580,0.2400,0.0989,0.0635,0.1130,0.8743
Sorsele,0.8777,257038,0.054,47.4,0.304,0.113,1,0.1096,0.1222,0.0192,0.0694,0.3567,0.1275,0.0198,0.1546,0.8080
Sotenäs,0.8792,293721,0.051,49.8,0.351,0.103,1,0.2474,0.0790,0.0534,0.0812,0.2486,0.0475,0.0265,0.2052,0.8821
Staffanstorp,0.8646,332519,0.060,39.6,0.182,0.145,0,0.2781,0.0758,0.0641,0.0514,0.2205,0.0313,0.0376,0.2291,0.9074
Stenungsund,0.8202,333944,0.047,41.5,0.203,0.115,0,0.2384,0.0730,0.0624,0.0683,0.2595,0.0539,0.0406,0.1928,0.8990
Stockholm,0.7741,338837,0.081,39.4,0.157,0.255,0,0.2188,0.0907,0.0785,0.0487,0.2376,0.1312,0.0770,0.0984,0.8732
Storfors,0.8628,264689,0.100,47.1,0.303,0.154,1,0.1072,0.0835,0.0286,0.0534,0.4069,0.0686,0.0122,0.2250,0.8705
Storuman,0.8800,258418,0.068,47.0,0.300,0.097,1,0.1208,0.1095,0.0347,0.0787,0.3439,0.1087,0.0205,0.1697,0.8320
Strängnäs,0.8320,308529,0.076,42.7,0.229,0.159,0,0.2671,0.0804,0.0492,0.0588,0.2357,0.0599,0.0385,0.1981,0.8843
Strömstad,0.8176,260539,0.084,43.0,0.236,0.276,1,0.1889,0.0841,0.0662,0.0707,0.2624,0.0561,0.0441,0.2092,0.8395
Strömsund,0.8437,246956,0.096,46.9,0.303,0.118,1,0.1022,0.1266,0.0107,0.0411,0.4108,0.0771,0.0143,0.2076,0.8439
Sundbyberg,0.7422,340761,0.079,37.6,0.129,0.316,0,0.2237,0.0805,0.0706,0.0503,0.2660,0.1104,0.0597,0.1224,0.8563
Sundsvall,0.8617,307513,0.085,42.6,0.224,0.116,0,0.1656,0.0826,0.0477,0.0501,0.3767,0.0746,0.0321,0.1563,0.8822
Sunne,0.8852,266960,0.063,45.0,0.261,0.102,1,0.1760,0.1512,0.0394,0.0719,0.2865,0.0482,0.0255,0.1877,0.8741
Surahammar,0.8103,282442,0.089,44.0,0.250,0.197,0,0.1296,0.0401,0.0336,0.0417,0.3640,0.0819,0.0191,0.2754,0.8512
Svalöv,0.7707,277485,0.071,40.4,0.185,0.180,0,0.1505,0.0933,0.0369,0.0509,0.2304,0.0464,0.0259,0.3434,0.8766
Svedala,0.8350,324126,0.061,39.3,0.178,0.119,0,0.2261,0.0598,0.0535,0.0527,0.2187,0.0320,0.0295,0.3147,0.9090
Svenljunga,0.8100,271425,0.061,44.4,0.258,0.158,0,0.1742,0.1193,0.0429,0.0677,0.2577,0.0411,0.0215,0.2557,0.8702
Säffle,0.8662,248150,0.118,45.8,0.280,0.145,0,0.1557,0.1424,0.0306,0.0678,0.2768,0.0458,0.0200,0.2511,0.8622
Säter,0.8716,289880,0.038,44.7,0.269,0.078,0,0.1695,0.1242,0.0314,0.0616,0.2979,0.0627,0.0254,0.2166,0.8887
Sävsjö,0.7884,278393,0.092,42.4,0.238,0.194,1,0.1642,0.0989,0.0236,0.1794,0.2205,0.0317,0.0166,0.2555,0.8746
Söderhamn,0.8173,262614,0.118,45.8,0.284,0.132,1,0.1435,0.0991,0.0298,0.0503,0.3653,0.0826,0.0240,0.1958,0.8607
Söderköping,0.8880,296283,0.058,44.1,0.260,0.071,0,0.2168,0.1091,0.0497,0.0784,0.2242,0.0552,0.0350,0.2189,0.8988
Södertälje,0.6430,279823,0.129,39.4,0.162,0.417,0,0.1981,0.0586,0.0445,0.1117,0.2718,0.0770,0.0451,0.1749,0.7754
Sölvesborg,0.8439,275144,0.090,45.4,0.268,0.122,1,0.1905,0.0568,0.0315,0.0613,0.2782,0.0370,0.0209,0.3123,0.8825
Tanum,0.8578,267024,0.060,46.5,0.298,0.124,1,0.2289,0.1241,0.0549,0.0667,0.2271,0.0505,0.0350,0.1949,0.8751
Tibro,0.7992,268798,0.107,43.7,0.250,0.163,1,0.1628,0.0831,0.0555,0.0967,0.3122,0.0464,0.0226,0.2113,0.8812
Tidaholm,0.8464,280142,0.065,43.8,0.246,0.111,1,0.1353,0.0738,0.0343,0.0696,0.3778,0.0568,0.0258,0.2152,0.8862
Tierp,0.8628,265493,0.088,43.5,0.243,0.131,0,0.1379,0.1134,0.0312,0.0541,0.3388,0.0661,0.0272,0.2094,0.8749
Timrå,0.8533,291349,0.082,43.5,0.238,0.101,0,0.1191,0.0680,0.0306,0.0496,0.4313,0.0797,0.0186,0.1941,0.8747
Tingsryd,0.8232,261183,0.080,46.1,0.287,0.168,0,0.1565,0.1165,0.0179,0.0836,0.2732,0.0482,0.0200,0.2710,0.8665
Tjörn,0.8739,317981,0.036,45.9,0.286,0.091,1,0.2162,0.0766,0.0691,0.1227,0.2056,0.0509,0.0380,0.2080,0.9042
Tomelilla,0.7962,254071,0.090,44.2,0.261,0.128,1,0.1772,0.0946,0.0295,0.0467,0.2316,0.0427,0.0294,0.3319,0.8624
Torsby,0.8916,255044,0.066,47.3,0.299,0.135,1,0.1394,0.1121,0.0308,0.0515,0.3548,0.0653,0.0185,0.2144,0.8370
Torsås,0.8247,255352,0.075,46.3,0.292,0.116,1,0.1273,0.1199,0.0286,0.0737,0.2868,0.0443,0.0208,0.2877,0.8795
Tranemo,0.8159,292907,0.054,44.0,0.253,0.169,0,0.1793,0.1402,0.0381,0.0624,0.2989,0.0453,0.0273,0.1977,0.8818
Tranås,0.8569,276274,0.099,43.4,0.252,0.164,0,0.1670,0.0918,0.0398,0.0915,0.3167,0.0535,0.0309,0.1949,0.8851
Trelleborg,0.7996,282939,0.090,42.5,0.218,0.176,0,0.2150,0.0570,0.0450,0.0518,0.2487,0.0388,0.0252,0.3071,0.8635
Trollhättan,0.7789,286216,0.119,40.6,0.195,0.221,0,0.1774,0.0611,0.0498,0.0507,0.3621,0.0693,0.0435,0.1738,0.8644
Trosa,0.8356,322515,0.049,43.4,0.248,0.147,0,0.2715,0.0918,0.0468,0.0630,0.2339,0.0530,0.0413,0.1880,0.9051
Tyresö,0.7893,343292,0.060,40.0,0.169,0.175,0,0.2584,0.0793,0.0694,0.0575,0.2387,0.0637,0.0541,0.1633,0.9025
Täby,0.8589,382393,0.044,41.0,0.191,0.187,0,0.3597,0.1098,0.1071,0.0831,0.1399,0.0320,0.0411,0.1141,0.9112
Töreboda,0.7972,250425,0.095,45.0,0.266,0.147,1,0.1730,0.1088,0.0310,0.0658,0.3052,0.0463,0.0200,0.2311,0.8696
Uddevalla,0.8283,288229,0.092,42.0,0.218,0.175,0,0.1834,0.0660,0.0492,0.0708,0.3032,0.0676,0.0392,0.2060,0.8688
Ulricehamn,0.8261,291874,0.053,43.6,0.243,0.135,0,0.1968,0.1293,0.0510,0.0794,0.2474,0.0554,0.0323,0.1959,0.8833
Umeå,0.8898,295852,0.064,39.0,0.174,0.128,0,0.1536,0.0951,0.0470,0.0448,0.3453,0.1566,0.0546,0.0858,0.8957
UpplandsVäsby,0.7436,311184,0.091,39.4,0.167,0.321,0,0.2311,0.0626,0.0566,0.0671,0.2697,0.0801,0.0392,0.1804,0.8470
Upplands-Bro,0.7358,314487,0.081,38.1,0.154,0.297,0,0.2316,0.0601,0.0543,0.0754,0.2616,0.0665,0.0325,0.2011,0.8677
Uppsala,0.8585,298634,0.076,39.0,0.172,0.221,0,0.1842,0.0893,0.0741,0.0690,0.2648,0.1098,0.0721,0.1152,0.8948
Uppvidinge,0.7846,274698,0.105,43.5,0.248,0.227,0,0.1461,0.1187,0.0221,0.0734,0.2882,0.0588,0.0169,0.2624,0.8682
Vadstena,0.9086,278848,0.073,48.7,0.332,0.086,1,0.2253,0.0925,0.0374,0.0734,0.2908,0.0591,0.0392,0.1686,0.8920
Vaggeryd,0.8035,305334,0.061,41.0,0.201,0.176,0,0.1526,0.1035,0.0359,0.1305,0.2933,0.0416,0.0264,0.2038,0.8801
Valdemarsvik,0.8652,247366,0.084,48.0,0.327,0.111,0,0.1731,0.1060,0.0270,0.0719,0.3008,0.0539,0.0203,0.2328,0.8840
Vallentuna,0.8167,350244,0.045,39.3,0.162,0.153,0,0.2829,0.1011,0.0773,0.0758,0.1891,0.0447,0.0485,0.1663,0.9002
Vansbro,0.8324,251708,0.049,45.5,0.275,0.091,1,0.1331,0.1460,0.0213,0.0969,0.2937,0.0720,0.0124,0.2082,0.8621
Vara,0.8236,276504,0.056,43.9,0.244,0.116,1,0.2153,0.1178,0.0342,0.0655,0.2494,0.0487,0.0191,0.2366,0.8740
Varberg,0.8766,305168,0.053,43.4,0.244,0.113,1,0.2069,0.1113,0.0578,0.0749,0.2832,0.0558,0.0369,0.1613,0.9003
Vaxholm,0.8537,362189,0.044,42.8,0.223,0.110,0,0.3031,0.1330,0.0776,0.0790,0.1637,0.0470,0.0550,0.1305,0.9274
Vellinge,0.8817,346288,0.052,43.1,0.231,0.092,0,0.3956,0.0724,0.0726,0.0745,0.1058,0.0131,0.0221,0.2355,0.9313
Vetlanda,0.8365,286581,0.076,43.3,0.246,0.161,1,0.1693,0.1094,0.0348,0.1157,0.2781,0.0391,0.0213,0.2214,0.8821
Vilhelmina,0.8112,251448,0.086,45.4,0.281,0.079,1,0.0747,0.1424,0.0181,0.0729,0.3729,0.1079,0.0112,0.1627,0.8444
Vimmerby,0.8356,283423,0.072,44.3,0.259,0.129,1,0.1629,0.1349,0.0201,0.0828,0.3035,0.0560,0.0232,0.2025,0.8822
Vindeln,0.8589,265247,0.059,45.1,0.283,0.115,0,0.1484,0.1457,0.0268,0.0734,0.3244,0.0813,0.0201,0.1603,0.8495
Vingåker,0.8506,263484,0.099,44.4,0.269,0.151,1,0.1573,0.0704,0.0264,0.0614,0.3338,0.0709,0.0276,0.2435,0.8848
Vårgårda,0.8215,293293,0.059,41.5,0.211,0.135,1,0.1498,0.1237,0.0433,0.1241,0.2485,0.0563,0.0357,0.2056,0.8944
Vänersborg,0.8192,283580,0.103,42.8,0.231,0.156,0,0.1599,0.0734,0.0447,0.0672,0.3165,0.0686,0.0356,0.2208,0.8779
Vännäs,0.8764,287947,0.061,41.5,0.219,0.090,0,0.1272,0.1305,0.0281,0.0602,0.3462,0.1313,0.0308,0.1318,0.8662
Värmdö,0.8092,348031,0.050,40.3,0.179,0.140,0,0.2749,0.0976,0.0640,0.0589,0.2048,0.0602,0.0541,0.1719,0.9032
Värnamo,0.8284,309405,0.069,42.5,0.221,0.203,1,0.1810,0.1259,0.0358,0.1155,0.2845,0.0375,0.0254,0.1840,0.8770
Västervik,0.8685,266783,0.088,46.6,0.298,0.115,1,0.1691,0.0877,0.0388,0.0633,0.3431,0.0666,0.0282,0.1916,0.8631
Västerås,0.8143,300057,0.103,41.0,0.196,0.232,0,0.2219,0.0632,0.0683,0.0617,0.2912,0.0715,0.0340,0.1751,0.8688
Växjö,0.8265,295122,0.090,39.8,0.190,0.193,0,0.2137,0.0915,0.0443,0.0718,0.3001,0.0719,0.0416,0.1538,0.8932
Ydre,0.8670,268386,0.044,47.4,0.317,0.099,1,0.1583,0.1491,0.0363,0.1239,0.2286,0.0547,0.0298,0.2049,0.9125
Ystad,0.8639,285126,0.071,46.0,0.284,0.109,1,0.2342,0.0771,0.0478,0.0576,0.2541,0.0413,0.0334,0.2418,0.8797
Åmål,0.8346,250075,0.137,45.4,0.274,0.166,1,0.1379,0.0754,0.0340,0.0589,0.3492,0.0674,0.0306,0.2320,0.8482
Ånge,0.8653,268914,0.074,46.6,0.283,0.081,1,0.1126,0.0855,0.0159,0.0487,0.4188,0.0683,0.0108,0.2213,0.8564
Åre,0.8379,278484,0.082,40.0,0.179,0.127,1,0.1544,0.2161,0.0270,0.0477,0.2619,0.0825,0.0618,0.1316,0.8864
Årjäng,0.8464,233988,0.067,44.6,0.257,0.223,1,0.1381,0.0997,0.0348,0.1603,0.2520,0.0366,0.0180,0.2508,0.8419
Åsele,0.8752,240192,0.084,47.5,0.319,0.131,1,0.0870,0.1668,0.0266,0.0476,0.4028,0.0864,0.0111,0.1551,0.8536
Åstorp,0.7240,268145,0.115,39.5,0.178,0.265,0,0.1725,0.0469,0.0295,0.0467,0.2920,0.0390,0.0171,0.3445,0.8237
Åtvidaberg,0.8934,278319,0.053,45.3,0.272,0.078,0,0.1656,0.0971,0.0404,0.0593,0.3342,0.0499,0.0287,0.2128,0.8928
Älmhult,0.8150,299845,0.086,40.8,0.203,0.265,1,0.1866,0.1114,0.0338,0.0705,0.2956,0.0484,0.0298,0.2134,0.8773
Älvdalen,0.8433,261916,0.069,46.5,0.291,0.090,1,0.1086,0.1178,0.0258,0.0537,0.3213,0.0534,0.0162,0.2853,0.8665
Älvkarleby,0.8629,276354,0.094,43.8,0.249,0.149,0,0.1165,0.0441,0.0343,0.0428,0.3927,0.0682,0.0221,0.2674,0.8752
Älvsbyn,0.8450,270876,0.084,45.1,0.266,0.101,0,0.0856,0.0903,0.0302,0.0464,0.4482,0.1074,0.0123,0.1662,0.8544
Ängelholm,0.8388,296758,0.067,43.7,0.243,0.127,0,0.2528,0.0808,0.0467,0.0735,0.2231,0.0372,0.0318,0.2424,0.8743
Öckerö,0.8509,326443,0.036,45.0,0.265,0.069,0,0.2194,0.0539,0.0660,0.1944,0.1865,0.0493,0.0460,0.1751,0.9175
Ödeshög,0.8474,259568,0.068,45.3,0.282,0.116,1,0.1665,0.1026,0.0231,0.1507,0.2610,0.0413,0.0259,0.2087,0.8886
Örebro,0.8263,287618,0.096,39.7,0.186,0.191,0,0.1790,0.0805,0.0565,0.0774,0.3148,0.0846,0.0477,0.1438,0.8778
Örkelljunga,0.7409,250774,0.084,43.6,0.239,0.189,0,0.1541,0.0672,0.0266,0.1213,0.2080,0.0291,0.0234,0.3553,0.8527
Örnsköldsvik,0.8809,290499,0.088,43.9,0.252,0.095,1,0.1274,0.1207,0.0269,0.0719,0.4459,0.0591,0.0222,0.1145,0.8857
Östersund,0.8495,287544,0.069,42.0,0.221,0.100,0,0.1559,0.1422,0.0371,0.0507,0.3331,0.0908,0.0441,0.1329,0.8788
Österåker,0.8333,339238,0.048,40.6,0.185,0.170,0,0.2968,0.0935,0.0748,0.0713,0.1971,0.0497,0.0444,0.1609,0.8926
Östhammar,0.8940,288375,0.043,45.5,0.282,0.096,0,0.1742,0.0882,0.0408,0.0844,0.3091,0.0506,0.0255,0.2112,0.8665
ÖstraGöinge,0.7874,254274,0.134,41.8,0.227,0.198,1,0.1814,0.0591,0.0241,0.0582,0.2764,0.0381,0.0206,0.3330,0.8660
Överkalix,0.8481,252102,0.066,50.1,0.353,0.127,1,0.0781,0.0879,0.0210,0.0344,0.4668,0.1049,0.0107,0.1834,0.8511
Övertorneå,0.8784,240725,0.079,50.7,0.374,0.261,1,0.0961,0.1629,0.0171,0.0539,0.3950,0.0938,0.0133,0.1618,0.8103
