Municipality,Vaccinated,Median income,Unemployment,Median age,Pensioners,Immigrants,Rural,M,C,L,KD,S,V,MP,SD,Turnout
Hagfors,0.8582,259502,0.078,48.5,0.307,0.144,1,0.0927,0.0786,0.0233,0.0451,0.4746,0.0827,0.0134,0.1800,0.8409
Hallsberg,0.8546,275767,0.088,42.5,0.229,0.163,0,0.1382,0.0792,0.0319,0.0588,0.3689,0.0656,0.0259,0.2171,0.8861
Hallstahammar,0.8080,279000,0.089,43.2,0.239,0.198,0,0.1469,0.0529,0.0399,0.0508,0.3615,0.0797,0.0223,0.2325,0.8581
Halmstad,0.8306,290251,0.091,41.5,0.209,0.194,0,0.2130,0.0824,0.0531,0.0623,0.3043,0.0552,0.0369,0.1771,0.8735
Hammarö,0.9226,339867,0.049,40.7,0.201,0.073,0,0.1999,0.0879,0.0660,0.0657,0.3415,0.0573,0.0411,0.1316,0.9100
Haninge,0.7060,308041,0.085,38.2,0.151,0.281,0,0.2294,0.0606,0.0511,0.0536,0.2729,0.0799,0.0371,0.1989,0.8506
Haparanda,0.8022,238631,0.111,46.7,0.311,0.408,1,0.1279,0.0961,0.0186,0.0532,0.3669,0.0591,0.0177,0.2447,0.7278
Heby,0.8582,269040,0.069,44.1,0.250,0.126,0,0.1378,0.1320,0.0298,0.0801,0.2914,0.0554,0.0235,0.2288,0.8672
Hedemora,0.8485,266875,0.085,44.9,0.264,0.148,1,0.1525,0.0997,0.0266,0.0692,0.3058,0.0746,0.0290,0.2253,0.8583
Helsingborg,0.7513,282041,0.119,40.7,0.190,0.268,0,0.2353,0.0599,0.0507,0.0532,0.2664,0.0475,0.0365,0.2379,0.8431
Herrljunga,0.8150,279474,0.056,44.1,0.253,0.120,0,0.1676,0.1237,0.0489,0.0883,0.2480,0.0604,0.0275,0.2183,0.8885
Hjo,0.8454,279627,0.064,45.0,0.277,0.087,1,0.1863,0.0983,0.0404,0.0962,0.2741,0.0621,0.0356,0.1950,0.8889
Hofors,0.8125,278388,0.107,45.1,0.266,0.151,0,0.1129,0.0523,0.0351,0.0397,0.3936,0.1178,0.0191,0.2184,0.8462
Huddinge,0.7207,317275,0.084,37.8,0.139,0.306,0,0.2407,0.0752,0.0614,0.0535,0.2610,0.0863,0.0532,0.1517,0.8494
Hudiksvall,0.8304,278347,0.087,44.8,0.266,0.099,1,0.1379,0.1262,0.0278,0.0534,0.3469,0.0932,0.0360,0.1629,0.8556
Hultsfred,0.8057,253296,0.112,45.3,0.277,0.204,1,0.1387,0.1062,0.0184,0.0938,0.3361,0.0589,0.0158,0.2183,0.8584
Hylte,0.7971,268792,0.114,42.5,0.231,0.249,0,0.1442,0.1166,0.0330,0.0657,0.3119,0.0395,0.0192,0.2579,0.8499
Håbo,0.8437,332918,0.056,40.1,0.181,0.157,0,0.2656,0.0710,0.0535,0.0651,0.2113,0.0520,0.0280,0.2417,0.8910
Hällefors,0.8175,244699,0.132,45.9,0.291,0.214,1,0.1189,0.0604,0.0210,0.0338,0.3973,0.0898,0.0184,0.2467,0.8405
Härjedalen,0.8603,257946,0.065,47.3,0.300,0.112,1,0.1398,0.1393,0.0278,0.0430,0.3493,0.0711,0.0188,0.1878,0.8448
Härnösand,0.8717,267416,0.123,44.5,0.268,0.147,1,0.1309,0.0994,0.0321,0.0529,0.3667,0.0886,0.0431,0.1684,0.8730
Härryda,0.8389,358617,0.047,39.5,0.166,0.121,0,0.2395,0.0931,0.0814,0.0649,0.2155,0.0583,0.0555,0.1767,0.9078
Hässleholm,0.7949,262944,0.105,43.4,0.238,0.168,1,0.1804,0.0691,0.0414,0.0726,0.2551,0.0456,0.0310,0.2912,0.8651
Höganäs,0.8498,296214,0.065,45.3,0.276,0.138,0,0.2733,0.0859,0.0666,0.0750,0.2039,0.0340,0.0445,0.2046,0.8890
Högsby,0.7626,237203,0.128,45.3,0.278,0.238,1,0.1497,0.0978,0.0153,0.0756,0.3182,0.0528,0.0153,0.2669,0.8588
Hörby,0.7834,272726,0.076,43.1,0.232,0.123,0,0.1729,0.0834,0.0432,0.0656,0.1945,0.0446,0.0254,0.3543,0.8667
Höör,0.8219,290591,0.065,42.5,0.219,0.121,0,0.1890,0.0776,0.0548,0.0643,0.1932,0.0618,0.0563,0.2816,0.8814
Jokkmokk,0.8420,267102,0.056,47.3,0.302,0.125,1,0.0833,0.0520,0.0266,0.0387,0.4030,0.1459,0.0709,0.1682,0.8339
Järfälla,0.7407,317578,0.093,39.1,0.165,0.324,0,0.2396,0.0631,0.0604,0.0629,0.2768,0.0875,0.0454,0.1500,0.8632
Jönköping,0.8171,303668,0.064,40.3,0.192,0.187,0,0.1862,0.0921,0.0464,0.1225,0.2762,0.0591,0.0416,0.1638,0.8830
Kalix,0.8720,279079,0.067,47.1,0.296,0.112,1,0.1171,0.0642,0.0287,0.0358,0.4537,0.0788,0.0279,0.1837,0.8704
Kalmar,0.8623,295752,0.077,41.1,0.205,0.148,1,0.1971,0.0920,0.0491,0.0655,0.3035,0.0671,0.0417,0.1709,0.8918
Karlsborg,0.8661,277729,0.067,46.9,0.306,0.091,1,0.1608,0.1071,0.0531,0.0855,0.2836,0.0509,0.0222,0.2251,0.9055
Karlshamn,0.8407,275809,0.105,44.3,0.254,0.146,1,0.1694,0.0649,0.0339,0.0511,0.3299,0.0609,0.0335,0.2434,0.8779
Karlskoga,0.8827,280513,0.082,44.3,0.251,0.165,1,0.1798,0.0603,0.0398,0.0484,0.3753,0.0716,0.0280,0.1834,0.8705
Karlskrona,0.8690,286135,0.087,42.3,0.225,0.134,1,0.1835,0.0717,0.0520,0.0622,0.3124,0.0555,0.0339,0.2156,0.8989
Karlstad,0.8904,292673,0.086,41.5,0.209,0.140,0,0.1952,0.0846,0.0566,0.0641,0.3173,0.0788,0.0484,0.1405,0.8898
Katrineholm,0.8472,269223,0.101,42.5,0.235,0.193,1,0.1735,0.0802,0.0379,0.0530,0.3732,0.0599,0.0325,0.1780,0.8667
Kil,0.8878,285705,0.068,43.5,0.250,0.080,0,0.1608,0.1021,0.0457,0.0582,0.3195,0.0598,0.0314,0.2129,0.8898
Kinda,0.8942,277918,0.055,45.2,0.276,0.091,0,0.1688,0.1218,0.0357,0.0798,0.2748,0.0594,0.0375,0.2060,0.8912
Kiruna,0.8440,333965,0.045,42.6,0.217,0.125,1,0.1071,0.0538,0.0251,0.0491,0.3823,0.1346,0.0283,0.1969,0.8582
Klippan,0.7561,254429,0.090,42.9,0.226,0.188,0,0.1573,0.0581,0.0309,0.0675,0.2418,0.0402,0.0225,0.3664,0.8421
Knivsta,0.8869,359359,0.051,36.9,0.140,0.144,0,0.2331,0.1070,0.0724,0.0855,0.2083,0.0542,0.0544,0.1692,0.9134
Kramfors,0.8408,254405,0.103,47.0,0.298,0.133,1,0.0932,0.1246,0.0205,0.0398,0.4107,0.1179,0.0187,0.1576,0.8621
